"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name","sig"
"ENSG00000213853.10",1245.71866021997,0.932765333241132,0.06063252766787,2.7476476169875e-56,4.17669914258271e-52,"EMP2","NS"
"ENSG00000110422.12",2200.26110787528,1.25724648725277,0.0977550649604234,1.25292429717038e-39,9.52285112064349e-36,"HIPK3","Up"
"ENSG00000138802.11",1799.46908174332,0.566062550611188,0.0450755442736376,8.60236279296495e-38,4.35881722719534e-34,"SEC24B","NS"
"ENSG00000122557.11",1115.93134805889,0.921958137856701,0.0776853736974771,1.85512653716001e-35,6.30311426621641e-32,"HERPUD2","NS"
"ENSG00000170017.12",5379.73864624802,1.33518970469659,0.110707575144813,2.07325645227827e-35,6.30311426621641e-32,"ALCAM","Up"
"ENSG00000163541.12",1093.41574166736,0.502341999503691,0.0418764560524856,1.82376361181365e-34,4.62050511052988e-31,"SUCLG1","NS"
"ENSG00000132676.16",1516.85259441055,0.661670214804224,0.0564163519888073,3.72281622061553e-34,8.08436133851096e-31,"DAP3","NS"
"ENSG00000116237.16",3084.72225840274,0.562877941179246,0.0484189992693537,7.55329022055593e-33,1.43521955803338e-29,"ICMT","NS"
"ENSG00000069974.17",1041.78967402066,0.684344854868751,0.0608766935328564,6.67172172084781e-32,1.12685379865119e-28,"RAB27A","NS"
"ENSG00000137815.15",2429.2683444313,0.59622718969761,0.0525327419185914,1.06621409284669e-31,1.62075204253625e-28,"RTF1","NS"
"ENSG00000169504.15",20738.3036266483,0.79750186778032,0.0723500956386093,1.75563909079598e-31,2.42613361992633e-28,"CLIC4","NS"
"ENSG00000204371.12",640.943468435139,-1.81112613270332,0.165504188476434,2.71472706660107e-31,3.43888051161691e-28,"EHMT2","Down"
"ENSG00000198792.13",3834.5762220344,0.543327021225449,0.0483168869062532,7.74940165448928e-31,9.06143496537627e-28,"TMEM184B","NS"
"ENSG00000143324.14",1684.70648379504,0.894117322702416,0.0829867789613855,3.5795294974769e-30,3.88660199222474e-27,"XPR1","NS"
"ENSG00000137076.22",16712.1592616409,1.25747144522838,0.115543802685482,1.98810691477711e-29,2.01474754743513e-26,"TLN1","Up"
"ENSG00000118579.13",1425.09165225397,0.533177665152595,0.0490560283815774,5.72088692675096e-29,5.43520013584633e-26,"MED28","NS"
"ENSG00000102893.18",3026.32595646205,-0.43079921696524,0.0401207177717452,3.93992893190909e-28,3.52299174670294e-25,"PHKB","NS"
"ENSG00000144674.19",5145.05620465041,0.906788038489325,0.0892777904626537,2.74719304732238e-27,2.32000452846375e-24,"GOLGA4","NS"
"ENSG00000196313.13",2391.31426502275,0.4723714147516,0.0450198741533806,5.13798287542706e-27,4.11065672049299e-24,"POM121","NS"
"ENSG00000111450.15",1248.09785692638,0.714675541332407,0.0711003674400132,1.41325229738346e-26,1.0741424086263e-23,"STX2","NS"
"ENSG00000171435.15",250.996693222876,1.30828392321502,0.128971767569463,4.09732752408335e-26,2.96587979493291e-23,"KSR2","Up"
"ENSG00000152700.14",1166.34290515534,0.856139174021705,0.0873209983165875,6.78191843778243e-26,4.68599737148776e-23,"SAR1B","NS"
"ENSG00000135250.17",2091.70628051858,0.587175153059929,0.0580795108312488,8.06486706248951e-26,5.33017583551752e-23,"SRPK2","NS"
"ENSG00000128245.15",3555.06296764753,0.917084593254035,0.093437458737705,9.56241953123625e-26,6.05659747059676e-23,"YWHAH","NS"
"ENSG00000188986.9",2410.98805057411,0.367681058178263,0.0365059977964996,2.76986983918897e-25,1.68419165702046e-22,"NELFB","NS"
"ENSG00000166167.18",914.469743899998,0.669242387858658,0.0680671103426494,2.89792115146098e-25,1.69428074705225e-22,"BTRC","NS"
"ENSG00000243646.11",873.579533409514,1.01561206685246,0.10384335803859,4.28505132909239e-25,2.41248389827901e-22,"IL10RB","Up"
"ENSG00000184428.13",618.885059529776,1.00458481553405,0.103314980581519,6.52413410662135e-25,3.54190580552683e-22,"TOP1MT","Up"
"ENSG00000102882.12",3240.41293882662,0.447783536243356,0.0448167628202857,9.38522985408833e-25,4.91947858662058e-22,"MAPK3","NS"
"ENSG00000116962.15",25627.1972259161,1.1897006435069,0.121681657304074,1.67447308159697e-24,8.48455510445187e-22,"NID1","Up"
"ENSG00000176105.14",4022.0839010175,0.542716954585083,0.0554292398734429,3.70672043703308e-24,1.81760830204322e-21,"YES1","NS"
"ENSG00000115107.20",1495.60610754049,1.21681026186019,0.125532355525323,3.95554053067764e-24,1.87900536271346e-21,"STEAP3","Up"
